"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II,Pokedex Desc
713,Avalugg,95,117,184,44,46,28,514,Own Tempo,Ice Body,Sturdy,505,2,Blue,Monster,Mineral,Ice,,
713.1,Avalugg (Hisuian),95,127,184,34,36,38,514,Strong Jaw,Ice Body,Sturdy,262.4,1.4,Blue,Monster,Mineral,Ice,Rock,
714,Noibat,40,30,35,45,40,55,245,Frisk,Infiltrator,Telepathy,8,0.5,Purple,Flying,Dragon,Flying,Dragon,
715,Noivern,85,70,80,97,80,123,535,Frisk,Infiltrator,Telepathy,85,1.5,Purple,Flying,Dragon,Flying,Dragon,
716,Xerneas,126,131,95,131,98,99,680,Fairy Aura,,,215,3,Blue,Undiscovered,,Fairy,,
717,Yveltal,126,131,95,131,98,99,680,Dark Aura,,,203,5.8,Red,Undiscovered,,Dark,Flying,
718,Zygarde (10%),54,100,71,61,85,115,486,Aura Break,Power Construct,,33.5,1.2,Black,Undiscovered,,Dragon,Ground,
718.1,Zygarde (50%),108,100,121,81,95,95,600,Aura Break,Power Construct,,305,5,Green,Undiscovered,,Dragon,Ground,
718.2,Zygarde (Complete),216,100,121,81,95,95,708,Power Construct,,,610,4.5,Black,Undiscovered,,Dragon,Ground,
719,Diancie,50,100,150,100,150,50,600,Clear Body,,,8.8,0.7,Pink,Undiscovered,,Rock,Fairy,
719.1,Diancie (Mega),50,160,110,160,110,110,700,Magic Bounce,,,27.8,1.1,Pink,Undiscovered,,Rock,Fairy,
720,Hoopa (Confined),80,110,60,150,130,70,600,Magician,,,9,0.5,Purple,Undiscovered,,Psychic,Ghost,
720.1,Hoopa (Unbound),80,160,60,170,130,80,680,Magician,,,490,6.5,Purple,Undiscovered,,Psychic,Dark,
721,Volcanion,80,110,120,130,90,70,600,Water Absorb,,,195,1.7,Brown,Undiscovered,,Fire,Water,
722,Rowlet,68,55,55,50,50,42,320,Overgrow ,,Long Reach,1.5,0.3,Brown,Flying,,Grass,Flying,
723,Dartrix,78,75,75,70,70,52,420,Overgrow ,,Long Reach,16,0.7,Brown,Flying,,Grass,Flying,
724,Decidueye,78,107,75,100,100,70,530,Overgrow ,,Long Reach,36.6,1.6,Brown,Flying,,Grass,Ghost,
724.1,Decidueye (Hisuian),88,112,80,95,95,60,530,Overgrow,,Scrappy,37,1.6,Brown,Flying,,Grass,Fighting,
725,Litten,45,65,40,60,40,70,320,Blaze,,Intimidate,4.3,0.4,Red,Field,,Fire,,
726,Torracat,65,85,50,80,50,90,420,Blaze,,Intimidate,25,0.7,Red,Field,,Fire,,
727,Incineroar,95,115,90,80,90,60,530,Blaze,,Intimidate,83,1.8,Red,Field,,Fire,Dark,
728,Popplio,50,54,54,66,56,40,320,Torrent,,Liquid Voice,7.5,0.4,Blue,Water 1,Field,Water,,
729,Brionne,60,69,69,91,81,50,420,Torrent,,Liquid Voice,17.5,0.6,Blue,Water 1,Field,Water,,
730,Primarina,80,74,74,126,116,60,530,Torrent,,Liquid Voice,44,1.8,Blue,Water 1,Field,Water,Fairy,
731,Pikipek,35,75,30,30,30,65,265,Keen Eye,Skill Link ,Pickup,1.2,0.3,Black,Flying,,Normal,Flying,
732,Trumbeak,55,85,50,40,50,75,355,Keen Eye,Skill Link ,Pickup,14.8,0.6,Black,Flying,,Normal,Flying,
733,Toucannon,80,120,75,75,75,60,485,Keen Eye,Skill Link ,Sheer Force,26,1.1,Black,Flying,,Normal,Flying,
734,Yungoos,48,70,30,30,30,45,253,Stakeout,Strong Jaw ,Adaptability,6,0.4,Brown,Field,,Normal,,
735,Gumshoos,88,110,60,55,60,45,418,Stakeout,Strong Jaw ,Adaptability,14.2,0.7,Brown,Field,,Normal,,
736,Grubbin,47,62,45,55,45,46,300,Swarm,,,4.4,0.4,Gray,Bug,,Bug,,
737,Charjabug,57,82,95,55,75,36,400,Battery,,,10.5,0.5,Green,Bug,,Bug,Electric,
738,Vikavolt,77,70,90,145,75,43,500,Levitate,,,45,1.5,Blue,Bug,,Bug,Electric,
739,Crabrawler,47,82,57,42,47,63,338,Hyper Cutter ,Iron Fist ,Anger Point,7,0.6,Purple,Water 3,,Fighting,,
740,Crabominable,97,132,77,62,67,43,478,Hyper Cutter ,Iron Fist ,Anger Point,180,1.7,White,Water 3,,Fighting,Ice,
741,Oricorio (Baile),75,70,70,98,70,93,476,Dancer,,,3.4,0.6,Red,Flying,,Fire,Flying,
741.1,Oricorio (Pa'u),75,70,70,98,70,93,476,Dancer,,,3.4,0.6,Pink,Flying,,Psychic,Flying,
741.2,Oricorio (Pom-Pom),75,70,70,98,70,93,476,Dancer,,,3.4,0.6,Yellow,Flying,,Electric,Flying,
741.3,Oricorio (Sensu),75,70,70,98,70,93,476,Dancer,,,3.4,0.6,Purple,Flying,,Ghost,Flying,
742,Cutiefly,40,45,40,55,40,84,304,Honey Gather ,Shield Dust ,Sweet Veil,0.2,0.1,Yellow,Bug,Fairy,Bug,Fairy,
743,Ribombee,60,55,60,95,70,124,464,Honey Gather ,Shield Dust ,Sweet Veil,0.5,0.2,Yellow,Bug,Fairy,Bug,Fairy,
744,Rockruff,45,65,40,30,40,60,280,Keen Eye ,Vital Spirit ,Steadfast,9.2,0.5,Brown,Field,,Rock,,
744.1,Rockruff (Own Tempo),45,65,40,30,40,60,280,Keen Eye ,Vital Spirit ,Own Tempo,9.2,0.5,Brown,Field,,Rock,,
745,Lycanroc (Midday),75,115,65,55,65,112,487,Keen Eye ,Sand Rush ,Steadfast,25,0.8,Brown,Field,,Rock,,
745.1,Lycanroc (Midnight),85,115,75,55,75,82,487,Keen Eye ,Vital Spirit ,No Guard,25,1.1,Red,Field,,Rock,,
745.2,Lycanroc (Dusk),75,117,65,55,65,110,487,Tough Claws,,,25,0.8,Brown,Field,,Rock,,
746,Wishiwashi (Solo),45,20,20,25,25,40,175,Schooling,,,0.3,0.2,Blue,Water 2,,Water,,
746.1,Wishiwashi (School),45,140,130,140,135,30,620,Schooling,,,78.6,8.2,Blue,Water 2,,Water,,
747,Mareanie,50,53,62,43,52,45,305,Merciless ,Limber ,Regenerator,8,0.4,Blue,Water 1,,Poison,Water,
748,Toxapex,50,63,152,53,142,35,495,Merciless ,Limber ,Regenerator,14.5,0.7,Blue,Water 1,,Poison,Water,
749,Mudbray,70,100,70,45,55,45,385,Own Tempo,Stamina ,Inner Focus,110,1,Brown,Field,,Ground,,
750,Mudsdale,100,125,100,55,85,35,500,Own Tempo,Stamina ,Inner Focus,920,2.5,Brown,Field,,Ground,,
751,Dewpider,38,40,52,40,72,27,269,Water Bubble ,,Water Absorb,4,0.3,Green,Water 1,Bug,Water,Bug,
752,Araquanid,68,70,92,50,132,42,454,Water Bubble ,,Water Absorb,82,1.8,Green,Water 1,Bug,Water,Bug,
753,Fomantis,40,55,35,50,35,35,250,Leaf Guard ,,Contrary,1.5,0.3,Pink,Grass,,Grass,,
754,Lurantis,70,105,90,80,90,45,480,Leaf Guard ,,Contrary,18.5,0.9,Pink,Grass,,Grass,,
755,Morelull,40,35,55,65,75,15,285,Illuminate ,Effect Spore,Rain Dish,1.5,0.2,Purple,Grass,,Grass,Fairy,
756,Shiinotic,60,45,80,90,100,30,405,Illuminate ,Effect Spore,Rain Dish,11.5,1,Purple,Grass,,Grass,Fairy,
757,Salandit,48,44,40,71,40,77,320,Corrosion ,,Oblivious,4.8,0.6,Black,Monster,Dragon,Poison,Fire,
758,Salazzle,68,64,60,111,60,117,480,Corrosion ,,Oblivious,22.2,1.2,Black,Monster,Dragon,Poison,Fire,
759,Stufful,70,75,50,45,50,50,340,Fluffy ,Klutz ,Cute Charm,6.8,0.5,Pink,Field,,Normal,Fighting,
760,Bewear,120,125,80,55,60,60,500,Fluffy ,Klutz ,Unnerve,135,2.1,Pink,Field,,Normal,Fighting,
761,Bounsweet,42,30,38,30,38,32,210,Leaf Guard ,Oblivious ,Sweet Veil,3.2,0.3,Purple,Grass,,Grass,,
762,Steenee,52,40,48,40,48,62,290,Leaf Guard ,Oblivious ,Sweet Veil,8.2,0.7,Purple,Grass,,Grass,,
763,Tsareena,72,120,98,50,98,72,510,Leaf Guard ,Queenly Majesty ,Sweet Veil,21.4,1.2,Purple,Grass,,Grass,,
764,Comfey,51,52,90,82,110,100,485,Flower Veil ,Triage ,Natural Cure,0.3,0.1,Green,Grass,,Fairy,,
765,Oranguru,90,60,80,90,110,60,490,Inner Focus ,Telepathy ,Symbiosis,76,1.5,White,Field,,Normal,Psychic,
766,Passimian,100,120,90,40,60,80,490,Receiver ,,Defiant,82.8,2,White,Field,,Fighting,,
767,Wimpod,25,35,40,20,30,80,230,Wimp Out,,,12,0.5,Gray,Bug,Water 3,Bug,Water,
768,Golisopod,75,125,140,60,90,40,530,Emergency Exit,,,108,2,Gray,Bug,Water 3,Bug,Water,
769,Sandygast,55,55,80,70,45,15,320,Water Compaction ,,Sand Veil,70,0.5,Brown,Amorphous,,Ghost,Ground,
770,Palossand,85,75,110,100,75,35,480,Water Compaction ,,Sand Veil,250,1.3,Brown,Amorphous,,Ghost,Ground,
771,Pyukumuku,55,60,130,30,130,5,410,Innards Out,Unaware,Unaware,1.2,0.3,Black,Water 1,,Water,,
772,Type: Null,95,95,95,95,95,59,534,Battle Armor,,,120.5,1.9,Gray,Undiscovered,,Normal,,
773,Silvally,95,95,95,95,95,95,570,RKS System,,,100.5,2.3,Gray,Undiscovered,,Normal,,
774,Minior (Meteor),60,60,100,60,100,60,440,Shields Down,,,40,0.3,Brown,Mineral,,Rock,Flying,
774.1,Minior (Red Core),60,100,60,100,60,120,500,Shields Down,,,0.3,0.3,Red,Mineral,,Rock,Flying,
774.2,Minior (Orange Core),60,100,60,100,60,120,500,Shields Down,,,0.3,0.3,Red,Mineral,,Rock,Flying,
774.3,Minior (Yellow Core),60,100,60,100,60,120,500,Shields Down,,,0.3,0.3,Yellow,Mineral,,Rock,Flying,
774.4,Minior (Green Core),60,100,60,100,60,120,500,Shields Down,,,0.3,0.3,Green,Mineral,,Rock,Flying,
774.5,Minior (Blue Core),60,100,60,100,60,120,500,Shields Down,,,0.3,0.3,Blue,Mineral,,Rock,Flying,
774.6,Minior (Indigo Core),60,100,60,100,60,120,500,Shields Down,,,0.3,0.3,Blue,Mineral,,Rock,Flying,
774.7,Minior (Violet Core),60,100,60,100,60,120,500,Shields Down,,,0.3,0.3,Purple,Mineral,,Rock,Flying,
775,Komala,65,115,65,75,95,65,480,Comatose,,,19.9,0.4,Blue,Field,,Normal,,
776,Turtonator,60,78,135,91,85,36,485,Shell Armor,,,212,2,Red,Monster,Dragon,Fire,Dragon,
777,Togedemaru,65,98,63,40,73,96,435,Iron Barbs ,Lightningrod,Sturdy,3.3,0.3,Gray,Field,Fairy,Electric,Steel,
778,Mimikyu,55,90,80,50,105,96,476,Disguise,,,0.7,0.2,Yellow,Amorphous,,Ghost,Fairy,
779,Bruxish,68,105,70,70,70,92,475,Dazzling ,Strong Jaw ,Wonder Skin,19,0.9,Pink,Water 2,,Water,Psychic,
780,Drampa,78,60,85,135,91,36,485,Berserk ,Sap Sipper ,Cloud Nine,185,3,White,Monster,Dragon,Normal,Dragon,
781,Dhelmise,70,131,100,86,90,40,517,Steelworker,,,210,3.9,Green,Mineral,,Ghost,Grass,
782,Jangmo-o,45,55,65,45,45,45,300,Bulletproof ,Soundproof ,Overcoat,29.7,0.6,Gray,Dragon,,Dragon,,
783,Hakamo-o,55,75,90,65,70,65,420,Bulletproof ,Soundproof ,Overcoat,47,1.2,Gray,Dragon,,Dragon,Fighting,
784,Kommo-o,75,110,125,100,105,85,600,Bulletproof ,Soundproof ,Overcoat,78.2,1.6,Gray,Dragon,,Dragon,Fighting,
785,Tapu Koko,70,115,85,95,75,130,570,Electric Surge ,Telepathy,,20.5,1.8,Yellow,Undiscovered,,Electric,Fairy,
786,Tapu Lele,70,85,75,130,115,95,570,Psychic Surge ,Telepathy,,18.6,1.2,Pink,Undiscovered,,Psychic,Fairy,
787,Tapu Bulu,70,130,115,85,95,75,570,Grassy Surge ,Telepathy,,45.5,1.9,Red,Undiscovered,,Grass,Fairy,
788,Tapu Fini,70,75,115,95,130,85,570,Misty Surge ,Telepathy,,21.2,1.3,Purple,Undiscovered,,Water,Fairy,
789,Cosmog,43,29,31,29,31,37,200,Unaware,,,0.1,0.2,Blue,Undiscovered,,Psychic,,
790,Cosmoem,43,29,131,29,131,37,400,Sturdy,,,999.9,0.1,Blue,Undiscovered,,Psychic,,
791,Solgaleo,137,137,107,113,89,97,680,Full Metal Body,,,230,3.4,White,Undiscovered,,Psychic,Steel,
792,Lunala,137,113,89,137,107,97,680,Shadow Shield,,,120,4,Purple,Undiscovered,,Psychic,Ghost,
793,Nihilego,109,53,47,127,131,103,570,Beast Boost,,,55.5,1.2,White,Undiscovered,,Rock,Poison,
794,Buzzwole,107,139,139,53,53,79,570,Beast Boost,,,333.6,2.4,Red,Undiscovered,,Bug,Fighting,
795,Pheromosa,71,137,37,137,37,151,570,Beast Boost,,,25,1.8,White,Undiscovered,,Bug,Fighting,
796,Xurkitree,83,89,71,173,71,83,570,Beast Boost,,,100,3.8,Black,Undiscovered,,Electric,,
797,Celesteela,97,101,103,107,101,61,570,Beast Boost,,,999.9,9.2,Green,Undiscovered,,Steel,Flying,
798,Kartana,59,181,131,59,31,109,570,Beast Boost,,,0.1,0.3,White,Undiscovered,,Grass,Steel,
799,Guzzlord,223,101,53,97,53,43,570,Beast Boost,,,888,5.5,Black,Undiscovered,,Dark,Dragon,
800,Necrozma,97,107,101,127,89,79,600,Prism Armor,,,230,2.4,Black,Undiscovered,,Psychic,,
800.1,Necrozma (Dusk Mane),97,157,127,113,109,77,680,Prism Armor,,,460,3.8,Yellow,Undiscovered,,Psychic,Steel,
800.2,Necrozma (Dawn Wings),97,113,109,157,127,77,680,Prism Armor,,,350,4.2,Blue,Undiscovered,,Psychic,Ghost,
800.3,Necrozma (Ultra),97,167,97,167,97,129,754,Neuroforce,,,230,7.5,Yellow,Undiscovered,,Psychic,Dragon,
801,Magearna,80,95,115,130,115,65,600,Soul-Heart,,,80.5,1,Gray,Undiscovered,,Steel,Fairy,
801.1,Magearna (Original Color),80,95,115,130,115,65,600,Soul-Heart,,,80.5,1,Red,Undiscovered,,Steel,Fairy,
802,Marshadow,90,125,80,90,90,125,600,Technician,,,22.2,0.7,Gray,Undiscovered,,Fighting,Ghost,
803,Poipole,67,73,67,73,67,73,420,Beast Boost,,,1.8,0.6,Purple,Undiscovered,,Poison,,
804,Naganadel,73,73,73,127,73,121,540,Beast Boost,,,150,3.6,Purple,Undiscovered,,Poison,Dragon,
805,Stakataka,61,131,211,53,101,13,570,Beast Boost,,,820,5.5,Gray,Undiscovered,,Rock,Steel,
806,Blacephalon,53,127,53,151,79,107,570,Beast Boost,,,13,1.8,White,Undiscovered,,Fire,Ghost,
807,Zeraora,88,112,75,102,80,143,600,Volt Absorb,,,44.5,1.5,Yellow,Undiscovered,,Electric,,
808,Meltan,46,65,65,55,35,34,300,Magnet Pull,,,8,0.2,Gray,Undiscovered,,Steel,,
809,Melmetal,135,143,143,80,65,34,600,Iron Fist,,,800,2.5,Gray,Undiscovered,,Steel,,
810,Grookey,50,65,50,40,40,65,310,Overgrow,,Grassy Surge,5,0.3,Green,Field,Grass,Grass,,
811,Thwackey,70,85,70,55,60,80,420,Overgrow,,Grassy Surge,14,0.7,Green,Field,Grass,Grass,,
812,Rillaboom,100,125,90,60,70,85,530,Overgrow,,Grassy Surge,90,2.1,Green,Field,Grass,Grass,,
813,Scorbunny,50,71,40,40,40,69,310,Blaze,,Libero,4.5,0.3,White,Field,Human-Like,Fire,,
814,Raboot,65,86,60,55,60,94,420,Blaze,,Libero,9,0.6,Gray,Field,Human-Like,Fire,,
815,Cinderace,80,116,75,65,75,119,530,Blaze,,Libero,33,1.4,White,Field,Human-Like,Fire,,
816,Sobble,50,40,40,70,40,70,310,Torrent,,Sniper,4,0.3,Blue,Water 1,Field,Water,,
817,Drizzile,65,60,55,95,55,90,420,Torrent,,Sniper,11.5,0.7,Blue,Water 1,Field,Water,,
818,Inteleon,70,85,65,125,65,120,530,Torrent,,Sniper,45.2,1.9,Blue,Water 1,Field,Water,,
819,Skwovet,70,55,55,35,35,25,275,Cheek Pouch,,Gluttony,2.5,0.3,Brown,Field,,Normal,,
820,Greedent,120,95,95,55,75,20,460,Cheek Pouch,,Gluttony,6,0.6,Brown,Field,,Normal,,
821,Rookidee,38,47,35,33,35,57,245,Keen Eye,Unnerve,Big Pecks,1.8,0.2,Blue,Flying,,Flying,,
822,Corvisquire,68,67,55,43,55,77,365,Keen Eye,Unnerve,Big Pecks,16,0.8,Blue,Flying,,Flying,,
823,Corviknight,98,87,105,53,85,67,495,Pressure,Unnerve,Mirror Armor,75,2.2,Purple,Flying,,Flying,Steel,
824,Blipbug,25,20,20,25,45,45,180,Swarm,Compound Eyes,Telepathy,8,0.4,Blue,Bug,,Bug,,
825,Dottler,50,35,80,50,90,30,335,Swarm,Compound Eyes,Telepathy,19.5,0.4,Yellow,Bug,,Bug,Psychic,
826,Orbeetle,60,45,110,80,120,90,505,Swarm,Frisk,Telepathy,40.8,0.4,Red,Bug,,Bug,Psychic,
827,Nickit,40,28,28,47,52,50,245,Run Away,Unburden,Stakeout,8.9,0.6,Brown,Field,,Dark,,
828,Thievul,70,58,58,87,92,90,455,Run Away,Unburden,Stakeout,19.9,1.2,Brown,Field,,Dark,,
829,Gossifleur,40,40,60,40,60,10,250,Cotton Down,Regenerator,Effect Spore,2.2,0.4,Green,Grass,,Grass,,
830,Eldegoss,60,50,90,80,120,60,460,Cotton Down,Regenerator,Effect Spore,2.5,0.5,Green,Grass,,Grass,,
831,Wooloo,42,40,55,40,45,48,270,Fluffy ,Run Away,Bulletproof,6,0.6,White,Field,,Normal,,
832,Dubwool,72,80,100,60,90,88,490,Fluffy ,Steadfast,Bulletproof,43,1.3,White,Field,,Normal,,
833,Chewtle,50,64,50,38,38,44,284,Strong Jaw,Shell Armor,Swift Swim,8.5,0.3,Green,Monster,Water 1,Water,,
834,Drednaw,90,115,90,48,68,74,485,Strong Jaw,Shell Armor,Swift Swim,115.5,1,Green,Monster,Water 1,Water,Rock,
835,Yamper,59,45,50,40,50,26,270,Ball Fetch,,Rattled,13.5,0.3,Yellow,Field,,Electric,,
836,Boltund,69,90,60,90,60,121,490,Strong Jaw,,Competitive,34,1,Yellow,Field,,Electric,,
837,Rolycoly,30,40,50,40,50,30,240,Steam Engine,Heatproof,Flash Fire,12,0.3,Black,Mineral,,Rock,,
838,Carkol,80,60,90,60,70,50,410,Steam Engine,Flame Body,Flash Fire,78,1.1,Black,Mineral,,Rock,Fire,
839,Coalossal,110,80,120,80,90,30,510,Steam Engine,Flame Body,Flash Fire,310.5,2.8,Black,Mineral,,Rock,Fire,
840,Applin,40,40,80,40,40,20,260,Ripen,Gluttony,Bulletproof,0.5,0.2,Green,Grass,Dragon,Grass,Dragon,
841,Flapple,70,110,80,95,60,70,485,Ripen,Gluttony,Hustle,1,0.3,Green,Grass,Dragon,Grass,Dragon,
842,Appletun,110,85,80,100,80,30,485,Ripen,Gluttony,Thick Fat,13,0.4,Green,Grass,Dragon,Grass,Dragon,
843,Silicobra,52,57,75,35,50,46,315,Sand Spit,Shed Skin,Sand Veil,7.6,2.2,Green,Field,Dragon,Ground,,
844,Sandaconda,72,107,125,65,70,71,510,Sand Spit,Shed Skin,Sand Veil,65.5,3.8,Green,Field,Dragon,Ground,,
845,Cramorant,70,85,55,85,95,85,475,Gulp Missile,,,18,0.8,Blue,Water 1,Flying,Flying,Water,
846,Arrokuda,41,63,40,40,30,66,280,Swift Swim,,Propeller Tail,1,0.5,Brown,Water 2,,Water,,
847,Barraskewda,61,123,60,60,50,136,490,Swift Swim,,Propeller Tail,30,1.3,Brown,Water 2,,Water,,
848,Toxel,40,38,35,54,35,40,242,Rattled,Static,Klutz,11,0.4,Purple,Undiscovered,,Electric,Poison,
849,Toxtricity (Amped),75,98,70,114,70,75,502,Punk Rock,Plus,Technician,40,1.6,Purple,Human-Like,,Electric,Poison,
849.1,Toxtricity (Low Key),75,98,70,114,70,75,502,Punk Rock,Minus,Technician,40,1.6,Purple,Human-Like,,Electric,Poison,
850,Sizzlipede,50,65,45,50,50,45,305,Flash Fire,White Smoke,Flame Body,1,0.7,Red,Bug,,Fire,Bug,
851,Centiskorch,100,115,65,90,90,65,525,Flash Fire,White Smoke,Flame Body,120,3,Red,Bug,,Fire,Bug,
852,Clobbopus,50,68,60,50,50,32,310,Limber,,Technician,4,0.6,Brown,Water 1,Human-Like,Fighting,,
853,Grapploct,80,118,90,70,80,42,480,Limber,,Technician,39,1.6,Blue,Water 1,Human-Like,Fighting,,
854,Sinistea,40,45,45,74,54,50,308,Weak Armor,,Cursed Body,0.2,0.1,Purple,Mineral,Amorphous,Ghost,,
855,Polteageist,60,65,65,134,114,70,508,Weak Armor,,Cursed Body,0.4,0.2,Purple,Mineral,Amorphous,Ghost,,
856,Hatenna,42,30,45,56,53,39,265,Healer,Anticipation,Magic Bounce,3.4,0.4,Pink,Fairy,,Psychic,,
857,Hattrem,57,40,65,86,73,49,370,Healer,Anticipation,Magic Bounce,4.8,0.6,Pink,Fairy,,Psychic,,
858,Hatterene,57,90,95,136,103,29,510,Healer,Anticipation,Magic Bounce,5.1,2.1,Pink,Fairy,,Psychic,Fairy,
859,Impidimp,45,45,30,55,40,50,265,Prankster,Frisk,Pickpocket,5.5,0.4,Pink,Fairy,Human-Like,Dark,Fairy,
860,Morgrem,65,60,45,75,55,70,370,Prankster,Frisk,Pickpocket,12.5,0.8,Pink,Fairy,Human-Like,Dark,Fairy,
861,Grimmsnarl,95,120,65,95,75,60,510,Prankster,Frisk,Pickpocket,61,1.5,Purple,Fairy,Human-Like,Dark,Fairy,
862,Obstagoon,93,90,101,60,81,95,520,Reckless,Guts,Defiant,46,1.6,Gray,Field,,Dark,Normal,
863,Perrserker,70,110,100,50,60,50,440,Battle Armor,Tough Claws,Steely Spirit,28,0.8,Brown,Field,,Steel,,
864,Cursola,60,95,50,145,130,30,510,Weak Armor,,Perish Body,0.4,1,White,Water 1,Water 3,Ghost,,
865,Sirfetch'd,62,135,95,68,82,65,507,Steadfast,,Scrappy,117,0.8,White,Flying,Field,Fighting,,
866,Mr. Rime,80,85,75,110,100,70,520,Tangled Feet,Screen Cleaner,Ice Body,58.2,1.5,Purple,Human-Like,,Ice,Psychic,
867,Runerigus,58,95,145,50,105,30,483,Wandering Spirit,,,66.6,1.6,Gray,Mineral,Amorphous,Ground,Ghost,
868,Milcery,45,40,40,50,61,34,270,Sweet Veil,,Aroma Veil,0.3,0.2,White,Fairy,Amorphous,Fairy,,
869,Alcremie (VaCr/SaCr),65,60,75,110,121,64,495,Sweet Veil,,Aroma Veil,0.5,0.3,White,Fairy,Amorphous,Fairy,,
869.1,Alcremie (RuCr),65,60,75,110,121,64,495,Sweet Veil,,Aroma Veil,0.5,0.3,Pink,Fairy,Amorphous,Fairy,,
869.2,Alcremie (MaCr),65,60,75,110,121,64,495,Sweet Veil,,Aroma Veil,0.5,0.3,Green,Fairy,Amorphous,Fairy,,
869.3,Alcremie (MiCr),65,60,75,110,121,64,495,Sweet Veil,,Aroma Veil,0.5,0.3,Blue,Fairy,Amorphous,Fairy,,
869.4,Alcremie (LeCr/RuSw/RaSw),65,60,75,110,121,64,495,Sweet Veil,,Aroma Veil,0.5,0.3,Yellow,Fairy,Amorphous,Fairy,,
869.7,Alcremie (CaSw),65,60,75,110,121,64,495,Sweet Veil,,Aroma Veil,0.5,0.3,Brown,Fairy,Amorphous,Fairy,,
870,Falinks,65,100,100,70,60,75,470,Battle Armor,,Defiant,62,3,Yellow,Fairy,Mineral,Fighting,,
871,Pincurchin,48,101,95,91,85,15,435,Lightningrod,,Electric Surge,1,0.3,Purple,Water 1,Amorphous,Electric,,
872,Snom,30,25,35,45,30,20,185,Shield Dust,,Ice Scales,3.8,0.3,White,Bug,,Ice,Bug,
873,Frosmoth,70,65,60,125,90,65,475,Shield Dust,,Ice Scales,42,1.3,White,Bug,,Ice,Bug,
874,Stonjourner,100,125,135,20,20,70,470,Power Spot,,,520,2.5,Gray,Mineral,,Rock,,
875,Eiscue (Ice Face),75,80,110,65,90,50,470,Ice Face,,,89,1.4,Blue,Water 1,Field,Ice,,
875.1,Eiscue (No Ice Face),75,80,70,65,50,130,470,Ice Face,,,89,1.4,Blue,Water 1,Field,Ice,,
876,Indeedee (Male),60,65,55,105,95,95,475,Inner Focus,Synchronize,Psychic Surge,28,0.9,Purple,Fairy,,Psychic,Normal,
876.1,Indeedee (Female),70,55,65,95,105,85,475,Own Tempo,Synchronize,Psychic Surge,28,0.9,Purple,Fairy,,Psychic,Normal,
877,Morpeko (Full Belly),58,95,58,70,58,97,436,Hunger Switch,,,3,0.3,Yellow,Field,Fairy,Electric,Dark,
877.1,Morpeko (Hangry),58,95,58,70,58,97,436,Hunger Switch,,,3,0.3,Purple,Field,Fairy,Electric,Dark,
878,Cufant,72,80,49,40,49,40,330,Sheer Force,,Heavy Metal,100,1.2,Yellow,Field,Mineral,Steel,,
879,Copperajah,122,130,69,80,69,30,500,Sheer Force,,Heavy Metal,650,3,Green,Field,Mineral,Steel,,
880,Dracozolt,90,100,90,80,70,75,505,Volt Absorb,Hustle,Sand Rush,190,1.8,Green,Undiscovered,,Electric,Dragon,
881,Arctozolt,90,100,90,90,80,55,505,Volt Absorb,Static,Slush Rush,150,2.3,Blue,Undiscovered,,Electric,Ice,
882,Dracovish,90,90,100,70,80,75,505,Water Absorb,Strong Jaw ,Sand Rush,215,2.3,Green,Undiscovered,,Water,Dragon,
883,Arctovish,90,90,100,80,90,55,505,Water Absorb,Ice Body,Slush Rush,175,2,Blue,Undiscovered,,Water,Ice,
884,Duraludon,70,95,115,120,50,85,535,Light Metal,Heavy Metal,Stalwart,40,1.8,White,Mineral,Dragon,Steel,Dragon,
885,Dreepy,28,60,30,40,30,82,270,Clear Body,Infiltrator,Cursed Body,2,0.5,Green,Amorphous,Dragon,Dragon,Ghost,
886,Drakloak,68,80,50,60,50,102,410,Clear Body,Infiltrator,Cursed Body,11,1.4,Green,Amorphous,Dragon,Dragon,Ghost,
887,Dragapult,88,120,75,100,75,142,600,Clear Body,Infiltrator,Cursed Body,50,3,Green,Amorphous,Dragon,Dragon,Ghost,
888,Zacian (Hero),92,120,115,80,115,138,660,Intrepid Sword,,,110,2.8,Blue,Undiscovered,,Fairy,,
888.1,Zacian (Crowned),92,150,115,80,115,148,700,Intrepid Sword,,,355,2.8,Blue,Undiscovered,,Fairy,Steel,
889,Zamazenta (Hero),92,120,115,80,115,138,660,Dauntless Shield,,,210,2.9,Red,Undiscovered,,Fighting,,
889.1,Zamazenta (Crowned),92,120,140,80,140,128,700,Dauntless Shield,,,785,2.9,Red,Undiscovered,,Fighting,Steel,
890,Eternatus,140,85,95,145,95,130,690,Pressure,,,950,20,Purple,Undiscovered,,Poison,Dragon,
891,Kubfu,60,90,60,53,50,72,385,Inner Focus,,,12,0.6,Gray,Undiscovered,,Fighting,,
892,Urshifu (Single Strike),100,130,100,63,60,97,550,Unseen Fist,,,105,1.9,Gray,Undiscovered,,Fighting,Dark,
892.1,Urshifu (Rapid Strike),100,130,100,63,60,97,550,Unseen Fist,,,105,1.9,Gray,Undiscovered,,Fighting,Water,
893,Zarude,105,120,105,70,95,105,600,Leaf Guard ,,,70,1.8,Black,Undiscovered,,Dark,Grass,
894,Regieleki,80,100,50,100,50,200,580,Transistor,,,145,1.2,Yellow,Undiscovered,,Electric,,
